Avalanche Movement, Number Avalanches
0, 2677
1, 6935
2, 6986
3, 4120
4, 3136
5, 4935
6, 6799
7, 4289
8, 4758
9, 3536
10, 4132
11, 3796
12, 10056
13, 11370
14, 1674
15, 1020
16, 874
17, 738
18, 704
19, 640
20, 639
21, 586
22, 564
23, 527
24, 484
25, 454
26, 403
27, 448
28, 401
29, 399
30, 371
31, 378
32, 366
33, 320
34, 322
35, 272
36, 291
37, 269
38, 273
39, 262
40, 217
41, 242
42, 238
43, 218
44, 223
45, 177
46, 210
47, 205
48, 169
49, 177
50, 168
51, 170
52, 150
53, 131
54, 140
55, 132
56, 127
57, 117
58, 114
59, 123
60, 104
61, 117
62, 87
63, 103
64, 88
65, 98
66, 83
67, 86
68, 90
69, 77
70, 67
71, 71
72, 68
73, 56
74, 66
75, 56
76, 52
77, 50
78, 60
79, 45
80, 60
81, 46
82, 43
83, 59
84, 42
85, 46
86, 41
87, 47
88, 46
89, 44
90, 41
91, 39
92, 38
93, 37
94, 30
95, 39
96, 36
97, 25
98, 20
99, 35
100, 27
101, 26
102, 36
103, 28
104, 32
105, 35
106, 25
107, 32
108, 17
109, 30
110, 29
111, 18
112, 28
113, 22
114, 17
115, 22
116, 23
117, 26
118, 13
119, 15
120, 20
121, 19
122, 14
123, 21
124, 16
125, 22
126, 17
127, 20
128, 11
129, 16
130, 19
131, 11
132, 13
133, 17
134, 15
135, 19
136, 12
137, 7
138, 21
139, 14
140, 18
141, 18
142, 11
143, 16
144, 8
145, 19
146, 9
147, 11
148, 13
149, 11
150, 15
151, 8
152, 15
153, 13
154, 9
155, 3
156, 9
157, 14
158, 6
159, 10
160, 10
161, 4
162, 11
163, 5
164, 9
165, 12
166, 10
167, 4
168, 9
169, 4
170, 11
171, 9
172, 8
173, 10
174, 7
175, 9
176, 8
177, 11
178, 6
179, 11
180, 9
181, 9
182, 11
183, 9
184, 10
185, 8
186, 2
187, 4
188, 10
189, 5
190, 12
191, 6
192, 5
193, 7
194, 14
195, 9
196, 7
197, 7
198, 9
199, 4
200, 7
201, 6
202, 4
203, 14
204, 8
205, 8
206, 6
207, 10
208, 6
209, 6
210, 3
211, 6
212, 5
213, 8
214, 7
215, 3
216, 8
217, 7
218, 2
219, 3
220, 5
221, 5
222, 1
223, 4
224, 2
225, 5
226, 10
227, 4
228, 7
229, 3
230, 6
231, 6
232, 7
233, 6
234, 3
235, 7
236, 8
237, 6
238, 2
239, 6
240, 3
241, 5
242, 5
243, 4
244, 6
245, 8
246, 6
247, 3
248, 6
249, 4
250, 8
251, 4
252, 4
253, 5
254, 5
255, 6
256, 6
257, 5
258, 4
259, 9
260, 11
261, 4
262, 5
263, 5
264, 7
265, 9
266, 6
267, 3
268, 6
269, 2
270, 3
271, 3
272, 5
273, 1
274, 7
275, 7
276, 3
277, 1
278, 9
279, 8
280, 2
281, 3
282, 2
283, 4
284, 5
285, 1
286, 4
287, 5
288, 3
289, 4
290, 5
292, 6
293, 4
294, 4
295, 2
296, 5
297, 5
298, 5
299, 3
300, 2
301, 3
302, 4
303, 1
304, 2
305, 6
306, 2
307, 3
308, 1
309, 5
310, 1
311, 3
312, 4
313, 1
314, 1
315, 2
316, 1
317, 2
318, 5
319, 3
320, 5
321, 2
322, 2
323, 3
324, 6
325, 3
326, 4
327, 4
328, 3
329, 2
330, 1
331, 2
332, 5
333, 6
334, 3
335, 4
336, 8
337, 4
338, 5
339, 7
340, 4
341, 4
342, 3
343, 2
344, 2
345, 3
346, 5
347, 2
348, 3
349, 4
350, 3
351, 6
352, 2
353, 2
354, 2
355, 6
356, 2
357, 1
358, 2
359, 6
360, 3
361, 2
362, 3
363, 4
364, 5
365, 1
366, 3
367, 1
