Avalanche Magnatude, Number Avalanches
0, 2677
1, 6935
2, 6962
3, 4037
4, 2897
5, 4602
6, 6497
7, 3681
8, 4196
9, 2652
10, 3595
11, 3026
12, 9623
13, 10691
14, 640
15, 481
16, 972
17, 314
18, 1021
19, 278
20, 793
21, 359
22, 596
23, 174
24, 681
25, 122
26, 439
27, 331
28, 1261
29, 101
30, 418
31, 67
32, 275
33, 311
34, 228
35, 48
36, 468
37, 27
38, 193
39, 196
40, 284
41, 26
42, 340
43, 23
44, 292
45, 255
46, 195
47, 14
48, 360
49, 14
50, 198
51, 71
52, 261
53, 7
54, 228
55, 35
56, 260
57, 44
58, 147
60, 318
61, 4
62, 160
63, 57
64, 210
65, 49
66, 172
67, 1
68, 173
69, 53
70, 143
71, 1
72, 214
74, 97
75, 123
76, 116
77, 3
78, 163
79, 1
80, 157
81, 71
82, 64
84, 194
85, 68
86, 62
87, 72
88, 74
90, 202
91, 11
92, 78
93, 75
94, 41
95, 39
96, 211
98, 49
99, 51
100, 81
102, 139
104, 43
105, 101
106, 26
108, 139
110, 27
111, 65
112, 72
114, 120
115, 10
116, 30
117, 64
118, 15
119, 27
120, 129
122, 8
123, 64
124, 25
125, 6
126, 113
128, 42
129, 50
130, 18
132, 102
133, 33
134, 5
135, 40
136, 31
138, 73
140, 65
141, 53
142, 7
144, 84
145, 7
146, 1
147, 61
148, 29
150, 66
152, 51
153, 38
154, 28
155, 8
156, 75
158, 3
159, 18
160, 72
161, 15
162, 41
164, 34
165, 41
166, 2
168, 101
170, 15
171, 27
172, 30
174, 26
175, 20
176, 54
177, 23
178, 2
180, 79
182, 2
183, 23
184, 53
185, 13
186, 19
188, 35
189, 32
190, 14
192, 66
194, 2
195, 33
196, 43
198, 39
200, 58
201, 8
202, 1
203, 5
204, 52
205, 14
207, 34
208, 34
210, 33
212, 23
213, 9
215, 18
216, 58
217, 4
219, 11
220, 52
222, 11
224, 36
225, 40
228, 41
230, 23
231, 10
232, 22
234, 30
235, 23
236, 21
237, 3
238, 1
240, 59
242, 4
243, 13
244, 19
245, 16
246, 7
248, 22
249, 3
250, 29
252, 31
253, 4
255, 23
256, 21
258, 9
259, 5
260, 38
261, 7
264, 40
265, 16
266, 5
267, 3
268, 14
270, 51
272, 18
273, 4
275, 37
276, 22
279, 1
280, 51
282, 13
284, 19
285, 14
286, 10
287, 3
288, 29
290, 22
291, 1
292, 8
294, 14
295, 19
296, 17
297, 9
300, 47
301, 6
304, 13
305, 17
306, 13
308, 13
309, 1
310, 18
312, 17
315, 24
316, 3
318, 13
319, 13
320, 30
322, 5
324, 26
325, 21
328, 6
329, 4
330, 29
332, 9
333, 2
335, 17
336, 25
338, 1
340, 18
341, 7
342, 10
343, 5
344, 5
345, 7
348, 32
350, 15
351, 2
352, 11
354, 10
355, 7
356, 3
357, 5
360, 33
363, 6
364, 9
365, 10
366, 14
368, 6
369, 6
370, 10
371, 6
372, 27
374, 3
375, 12
376, 3
377, 4
378, 14
380, 14
384, 18
385, 17
387, 2
388, 1
390, 24
392, 11
395, 2
396, 25
399, 2
400, 16
402, 9
403, 9
404, 1
405, 12
406, 10
407, 1
408, 20
410, 11
412, 3
413, 4
414, 15
415, 3
416, 8
420, 22
423, 2
424, 2
425, 11
426, 4
427, 5
429, 12
430, 7
432, 16
434, 6
435, 10
438, 7
440, 22
441, 10
442, 4
444, 12
445, 1
448, 15
450, 11
451, 4
452, 1
455, 16
456, 9
459, 6
460, 10
462, 13
464, 7
465, 4
468, 12
469, 8
470, 2
472, 5
474, 4
475, 5
476, 12
477, 1
480, 25
481, 1
483, 4
484, 3
485, 1
486, 5
488, 4
490, 14
492, 8
494, 3
495, 14
496, 2
497, 8
